run	time	zone	id.fire	target.area	burnt.area
1	90	ZC	6	224	224
1	90	ZC	7	48	48
1	90	ZC	8	252	252
1	90	ZC	9	88	88
1	90	ZC	10	72	72
1	90	ZC	11	52	52
1	90	ZC	12	88	88
1	90	ZC	13	96	96
1	90	ZC	14	68	68
1	90	ZC	15	20	20
1	90	ZC	16	60	60
1	90	ZB	17	44	44
1	90	ZB	18	1104	1104
1	90	ZB	19	16	16
1	90	ZB	20	16	16
1	90	ZB	21	768	768
1	90	ZB	22	272	272
1	90	ZB	23	28	28
1	90	ZB	24	52	52
1	90	ZB	25	16	16
1	90	ZB	26	104	104
1	90	ZB	27	348	348
1	90	ZB	28	72	72
1	90	ZB	29	964	964
1	90	ZB	30	408	408
1	90	ZB	31	312	312
1	90	ZA	32	1040	1040
1	90	ZA	33	88	88
1	90	ZA	34	928	928
1	90	ZA	35	136	136
1	90	ZA	36	80	80
1	90	ZA	37	20	20
1	90	ZA	38	964	964
1	90	ZA	39	80	80
1	90	ZA	40	620	620
1	90	ZA	41	96	96
1	90	ZA	42	172	172
1	90	ZA	43	80	80
1	90	ZA	44	72	72
1	90	ZA	45	64	64
1	90	ZA	46	1288	1288
1	90	ZD	47	32	32
1	90	ZD	48	32	32
1	90	ZD	49	16	16
1	90	ZD	50	24	24
1	90	ZD	51	24	24
